driverId,year,dstnd_points,results_laps,wins,res_1,res_2,res_3,res_4,res_5,res_6,res_7,res_8,res_9,res_10,res_11,res_12,res_13,res_14,res_15,res_16,res_17,res_18,res_19,res_20,res_21,res_22,res_23,res_24,grid_1,grid_2,grid_3,grid_4,grid_5,grid_6,grid_7,grid_8,grid_9,grid_10,grid_11,grid_12,grid_13,grid_14,grid_15,grid_16,grid_17,grid_18,grid_19,grid_20,grid_21,grid_22,grid_23,grid_24,races
9,2009.0,17.0,864.0,0.0,0,1,0,1,0,0,1,2,1,1,1,0,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,3,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0
9,2010.0,136.0,996.0,0.0,0,1,2,1,4,1,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,3,4,5,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2019.0,1.0,1179.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5,4,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,4,6,5,0,0,0,0,0
9,2021.0,0.0,123.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2004.0,2.0,243.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2008.0,25.0,906.0,0.0,0,1,0,2,0,1,2,0,2,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0
10,2009.0,24.0,807.0,0.0,0,1,1,1,0,1,2,1,2,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2010.0,0.0,827.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,2,0,0,0,0,0
10,2011.0,0.0,831.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,8,0,0,0,0
10,2012.0,0.0,1098.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,2,2,3,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,7,5,2,0,0,0
11,2002.0,2.0,107.0,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2003.0,3.0,53.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
